WBS_ELEMENT,(All),
WBS_DESCRIPTION,(All),
,,
Row Labels,Sum of MONTHLY_SPEND,Sum of JTD_SPEND
2024,41551292.4,78623888.25
Qtr3,324586.1,324586.1
Aug,0,0
8/1/2024,0,0
Sep,324586.1,324586.1
9/1/2024,324586.1,324586.1
Qtr4,41226706.3,78299302.15
Oct,8911501.38,9301004.7
10/1/2024,8911501.38,9301004.7
Nov,18061078.11,27372085.32
11/1/2024,18061078.11,27372085.32
Dec,14254126.81,41626212.13
12/1/2024,14254126.81,41626212.13
2025,274540937.5,2322564914
Qtr1,70803942.59,262728771.6
Jan,15624256.01,57250468.14
1/1/2025,15624256.01,57250468.14
Feb,30187977.46,90245725.92
2/1/2025,30187977.46,90245725.92
Mar,24991709.12,115232577.5
3/1/2025,24991709.12,115232577.5
Qtr2,58034685.23,471236256.1
Apr,19278060.51,134510638.1
4/1/2025,19278060.51,134510638.1
May,20035272.78,159002133
5/1/2025,20035272.78,159002133
Jun,18721351.94,177723485
6/1/2025,18721351.94,177723485
Qtr3,71698887.72,678257522.8
Jul,20119399.62,200259531.4
7/1/2025,20119399.62,200259531.4
Aug,26999946.49,226709224.9
8/1/2025,26999946.49,226709224.9
Sep,24579541.61,251288766.5
9/1/2025,24579541.61,251288766.5
Qtr4,74003421.95,910342363.2
Oct,26719205.89,278007972.4
10/1/2025,26719205.89,278007972.4
Nov,29034229.95,307042202.3
11/1/2025,29034229.95,307042202.3
Dec,18249986.11,325292188.4
12/1/2025,18249986.11,325292188.4
2026,64629816.53,389922005
Qtr1,64629816.53,389922005
Jan,64629816.53,389922005
1/1/2026,64629816.53,389922005
Grand Total,380722046.4,2791110807
