Period,Project,District,CBS_Hierarchy,Description,Budget_Amount,Period_Spend,JTD_Spend,Forecast_Amount,Forecast_Change,SL_Variance
202408,106073,Kiewit Infrastructure Engineers,,"KIE-Francis Scott Key Bridge Replacement",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1,"Financial Results Analysis",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1.1,"Design Engineering Fees-Revenue/Margin",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2,"Engineering Scope",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1,"Base Design",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.1,"Design Engineering Indirects",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2,"Design Engineering Expenses",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2.1,"Design Engineering - Expenses - Travel &",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2.2,"Design Engineering - Expenses - Misc",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.2.3,"Design Engineering - Consultants",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.3,"Design Engineering Contingency/Managemen",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4,"Design Engineering Directs",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.1,"Design Engineering - Electrical",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.10,"Design Engineering - Geotechnical",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.11,"Design Engineering - Buildings",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.12,"Design Engineering - KPD",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.13,"Design Engineering - KIWE",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.2,"Design Engineering - Instrumentation and",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.3,"Design Engineering - Civil",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.4,"Design Engineering - Structural",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.5,"Design Engineering - Mechanical",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.6,"Design Engineering - Piping",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.7,"Design Engineering - Process",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.8,"Design Engineering - Process Safety",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.1.4.9,"Design Engineering - Environmental",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.2,"Design Engineering - G&A",,0.000000,0.000000,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.3,"Maintenance Manhour ST&S",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.4,"Maintain Equipment Temporary Holding",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.5,"Equipment Cost Under/Over Allocation",,,,,,
202408,106073,Kiewit Infrastructure Engineers,1.2.6,"Auto Excepted Cost",,,,,,
202408,106073,Kiewit Infrastructure Engineers,2,"Miscellaneous Revenue Internal",,,,,,
202408,106073,Kiewit Infrastructure Engineers,2.1,"Miscellaneous Revenue Internal",,,,,,
202408,106073,Kiewit Infrastructure Engineers,3,"Miscellaneous Revenue External",,,,,,
202408,106073,Kiewit Infrastructure Engineers,3.1,"Miscellaneous Revenue External",,,,,,
202408,106073,Kiewit Infrastructure Engineers,4,"Financial Results Exclusions",,,,,,
