name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
PROJECT_NUMBER,VARCHAR(32),COLUMN,N,,N,N,,,,,
WBS_ELEMENT,VARCHAR(32),COLUMN,N,,N,N,,,,,
FISCAL_YEAR_MONTH_NO,"NUMBER(8,0)",COLUMN,N,,N,N,,,,,
CURRENT_BUDGET_AMOUNT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_AMOUNT_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_CF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_LEI,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_MANHOURS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_MHF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_QUANTITY,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_UNIT_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_BUDGET_UOM_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_AMOUNT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_AMOUNT_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_CF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_EARNED_MANHOURS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_LEI,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_MANHOURS,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_MHF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_QUANTITY,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
UNIT_OF_MEASURE,VARCHAR(32),COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_UNIT_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
CURRENT_ESTIMATE_UOM_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
DELTA_FROM_STRAIGHT_LINE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
FORECAST_AMOUNT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_AMOUNT_G_PER_L,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_G_PER_L_PERCENT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_AMOUNT_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_CF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_CF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_CHANGE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
FORECAST_FROM_STRAIGHT_LINE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
FORECAST_LEI,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_LEI_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_MH_CHANGE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
FORECAST_MH_G_PER_L,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_MH_G_PER_L_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_MHF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_PF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_PF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_QUANTITY,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_AMOUNT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_AMOUNT_PER_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_CF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_CF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_LEI,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_LEI_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_MH,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_MHF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_PF,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_PF_CE,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_QUANTITY,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_REMAINING_UNIT_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
FORECAST_UNIT_COST,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
IMPROVEMENT_FACTOR,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MH_IMPROVEMENT_FACTOR,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
MANHOUR_STRAIGHT_LINE,"NUMBER(35,6)",COLUMN,Y,,N,N,,,,,
UNCOMMITTED_FORECAST_AMOUNT,"NUMBER(38,6)",COLUMN,Y,,N,N,,,,,
