PROJECT_NUMBER,PROJECT_DESCRIPTION,CBS_LEVEL_2,WBS_DESCRIPTION,MONTH,MONTHLY_SPEND,JTD_SPEND,FORECAST
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202408, $-   , $-   ,
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202409," $64,917.22 "," $64,917.22 "," $64,917.22 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202410," $1,294,394.95 "," $1,359,312.17 "," $10,914,217.94 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202411," $2,274,574.61 "," $3,633,886.78 "," $12,760,354.60 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202412," $1,764,203.00 "," $5,398,089.78 "," $15,137,608.86 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202501," $1,920,019.59 "," $7,318,109.37 "," $15,747,558.88 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202502," $3,962,397.11 "," $11,280,506.48 "," $26,242,261.00 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202503," $3,223,374.16 "," $14,503,880.64 "," $28,063,254.26 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202504," $2,528,696.41 "," $17,032,577.05 "," $28,043,026.26 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202505," $2,412,356.80 "," $19,444,933.85 "," $46,739,342.66 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202506," $2,396,470.04 "," $21,841,403.89 "," $39,761,503.97 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202507," $2,160,877.66 "," $24,002,281.55 "," $40,101,086.78 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202508," $2,755,337.33 "," $26,757,618.88 "," $40,226,763.93 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202509," $2,647,935.18 "," $29,405,554.06 "," $40,492,786.75 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202510," $2,939,754.72 "," $32,345,308.78 "," $40,693,830.93 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202511," $3,197,960.36 "," $35,543,269.14 "," $41,645,729.68 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202512," $2,059,547.33 "," $37,602,816.47 "," $41,938,527.22 "
106073,KIE-Francis Scott Key Bridge Replacement,1,Financial Results Analysis,202601," $(1,635,871.04)"," $35,966,945.43 "," $41,938,527.22 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,Design Engineering Fees-Revenue/Margin,202408,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.1,Design Engineering Fees-Revenue/Margin,202409,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.1,2D and 3D Visualizations and Renderings,202410," $5,576,988.34 "," $5,836,657.22 "," $41,563,605.23 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO2 - Demolition Plan,202411," $9,945,062.75 "," $15,134,366.80 "," $48,029,007.81 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO2 - Demolition Plan,202412," $7,394,973.75 "," $22,529,340.55 "," $57,558,024.85 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO2 - Demolition Plan,202501," $7,906,316.61 "," $30,435,657.16 "," $58,774,291.00 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO2 - Demolition Plan,202502," $17,169,345.74 "," $47,605,002.90 "," $102,974,875.61 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO2 - Demolition Plan,202503," $9,867,651.44 "," $57,472,654.34 "," $107,744,470.58 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO2 - Demolition Plan,202504," $9,302,844.73 "," $66,775,499.07 "," $107,663,558.58 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.1 - General TSCD,202505," $9,870,284.59 "," $81,102,005.87 "," $183,787,091.30 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.1 - General TSCD,202506," $10,775,396.93 "," $91,877,402.80 "," $170,782,569.75 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.2 - General TSCD,202507," $9,509,022.81 "," $101,386,425.61 "," $171,641,550.53 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.2 - General TSCD,202508," $11,662,001.15 "," $112,498,173.72 "," $171,428,354.19 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,100% Drainage Design,202509," $11,391,787.95 "," $123,889,961.67 "," $171,708,318.92 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.2 - General TSCD,202510," $12,543,633.59 "," $136,433,595.26 "," $172,117,812.24 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.2 - General TSCD,202511," $13,976,297.73 "," $150,409,892.99 "," $175,841,628.82 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.2 - General TSCD,202512," $9,211,274.52 "," $159,621,167.51 "," $176,732,459.03 "
106073,KIE-Francis Scott Key Bridge Replacement,1.1,24-227 - WO16.2 - General TSCD,202601," $(9,337,111.54)"," $150,284,055.97 "," $176,732,459.03 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,Auto Excepted Cost,202408, $-   , $-   ,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,Auto Excepted Cost,202409," $194,751.66 "," $194,751.66 "," $194,751.66 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202410,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202411,,, $-   
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202412,,, $-   
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202501,,, $-   
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202502,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202503,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202504,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202505,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202506,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,24-227-TSCD Engineering (KIE) - PRECON,202507,,,
106073,KIE-Francis Scott Key Bridge Replacement,1.2,G&A,202508," $1,369,273.68 "," $11,051,664.30 "," $17,526,673.14 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,G&A,202509," $1,265,585.34 "," $12,317,249.64 "," $17,730,584.90 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,G&A,202510," $1,384,281.16 "," $13,701,530.80 "," $17,730,584.90 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,G&A,202511," $1,406,276.58 "," $15,107,807.38 "," $17,730,584.90 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,G&A,202512," $859,519.12 "," $15,967,326.50 "," $17,730,584.90 "
106073,KIE-Francis Scott Key Bridge Replacement,1.2,G&A,202601, $-   ," $15,967,326.50 "," $17,730,584.90 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202410," $690,055.30 "," $690,055.30 "," $5,373,477.46 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202411," $891,535.22 "," $1,581,590.52 "," $5,965,611.48 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202412," $720,001.06 "," $2,301,591.58 "," $5,965,611.48 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202501," $836,785.08 "," $3,138,376.66 "," $6,400,956.46 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202502," $1,161,488.00 "," $4,299,864.66 "," $9,868,348.00 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202503," $1,563,947.46 "," $5,863,812.12 "," $10,939,822.00 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202504," $1,031,359.02 "," $6,895,171.14 "," $10,939,822.00 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202505," $873,503.06 "," $7,768,674.20 "," $20,168,138.00 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202506," $943,595.60 "," $8,712,269.80 "," $17,413,388.82 "
106073,KIE-Francis Scott Key Bridge Replacement,1.3,G&A,202507," $970,120.82 "," $9,682,390.62 "," $17,413,388.82 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202408,,,
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202409,,,
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202410," $13,916.96 "," $13,916.96 "," $12,000.00 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202411," $38,967.49 "," $52,884.45 "," $180,920.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202412, $-   ," $52,884.45 "," $180,920.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202501," $35,092.40 "," $87,976.85 "," $180,920.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202502," $49,469.64 "," $137,446.49 "," $442,396.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202503," $65,209.68 "," $202,656.17 "," $442,396.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202504," $41,347.62 "," $244,003.79 "," $442,396.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202505," $34,146.62 "," $278,150.41 "," $442,396.48 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202506," $28,696.80 "," $306,847.21 "," $423,969.65 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202507," $22,146.63 "," $328,993.84 "," $444,671.69 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202508," $35,271.16 "," $364,265.00 "," $495,264.89 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202509," $26,221.16 "," $390,486.16 "," $495,264.89 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202510," $24,213.25 "," $414,699.41 "," $495,264.89 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202511," $31,280.40 "," $445,979.81 "," $495,264.89 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202512," $21,672.84 "," $467,652.65 "," $495,264.89 "
106073,KIE-Francis Scott Key Bridge Replacement,2,Miscellaneous Revenue Internal,202601, $249.24 ," $467,901.89 "," $495,264.89 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,Miscellaneous Revenue Internal,202408,,,
106073,KIE-Francis Scott Key Bridge Replacement,2.1,Miscellaneous Revenue Internal,202409,,,
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202410," $27,833.92 "," $27,833.92 "," $24,000.00 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202411," $77,934.98 "," $105,768.90 "," $361,840.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202412, $-   ," $105,768.90 "," $361,840.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202501," $70,184.80 "," $175,953.70 "," $361,840.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202502," $98,939.28 "," $274,892.98 "," $884,792.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202503," $130,419.36 "," $405,312.34 "," $884,792.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202504," $82,695.24 "," $488,007.58 "," $884,792.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202505," $68,293.24 "," $556,300.82 "," $884,792.96 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202506," $57,393.60 "," $613,694.42 "," $847,939.30 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202507," $44,293.26 "," $657,987.68 "," $889,343.38 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202508," $70,542.32 "," $728,530.00 "," $990,529.78 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support (Estimating S,202509," $52,442.32 "," $780,972.32 "," $990,529.78 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202510," $48,426.50 "," $829,398.82 "," $990,529.78 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202511," $62,560.80 "," $891,959.62 "," $990,529.78 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202512," $43,345.68 "," $935,305.30 "," $990,529.78 "
106073,KIE-Francis Scott Key Bridge Replacement,2.1,FSK - Construction Support,202601, $498.48 ," $935,803.78 "," $990,529.78 "
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202408,,,
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202409,,,
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202410,,, $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202411, $-   , $-   ," $3,436,164.88 "
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202412, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202501, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202502, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202503, $0.01 , $0.01 , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202504, $(9.01), $(9.00), $260.40 
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202505, $132.29 , $123.29 , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202506, $-   , $123.29 , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202507," $7,953.69 "," $8,076.98 ", $(0.01)
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202508," $18,372.80 "," $26,449.78 ", $0.01 
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202509," $(24,902.78)"," $1,547.00 ", $0.10 
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202510," $(1,548.00)", $(1.00), $0.01 
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202511, $1.00 , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202512, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3,Miscellaneous Revenue External,202601," $196,923.27 "," $196,923.27 ", $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,Miscellaneous Revenue External,202408,,,
106073,KIE-Francis Scott Key Bridge Replacement,3.1,Miscellaneous Revenue External,202409,,,
106073,KIE-Francis Scott Key Bridge Replacement,3.1,Miscellaneous Revenue External,202410,,, $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202411," $164,338.92 ", $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202412, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202501, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202502, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202503, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202504, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202505, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202506, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202507, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202508, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202509, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202510, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202511, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202512, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.1,DBE JOR Line Item (MH),202601, $-   , $-   , $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.2,DBE JOR Line Item ($),202411," $(921,552.10)"," $(921,552.10)", $-   
106073,KIE-Francis Scott Key Bridge Replacement,3.2,DBE JOR Line Item ($),202412," $(873,740.87)"," $(1,795,292.97)"," $(3,709,727.99)"
106073,KIE-Francis Scott Key Bridge Replacement,3.2,DBE JOR Line Item ($),202501," $(1,011,987.35)"," $(2,807,280.32)"," $(3,708,919.99)"
106073,KIE-Francis Scott Key Bridge Replacement,3.2,DBE JOR Line Item ($),202502," $(1,005,830.07)"," $(3,813,110.39)"," $(3,044,864.88)"
106073,KIE-Francis Scott Key Bridge Replacement,3.2,DBE JOR Line Item ($),202503," $(1,914,157.98)"," $(5,727,268.37)"," $(7,912,348.60)"
106073,KIE-Francis Scott Key Bridge Replacement,3.2,DBE JOR Line Item ($),202504," $(1,088,601.80)"," $(6,815,870.17)"," $(7,912,348.60)"
